5,67
9,9
22,64
27,16
27,52
28,19
32,58
32,68
34,11
38,16
45,13
45,72
49,3
51,29
52,40
55,19
56,30
57,21
58,23
58,37
58,12
60,33
61,22
66,27
68,20
69,31
71,20
76,18
76,78
80,28
82,28
84,31
95,3
95,35
97,19
99,58
99,25
103,64
103,54
105,35
109,18
117,11
129,4
132,16
134,25
137,12
175,49
191,42
192,61
199,13
202,49
202,44
207,72
215,38
217,58
221,33
224,61
233,15
234,11
235,29
237,16
237,12
237,50
240,14
241,40
241,11
241,45
243,23
245,33
246,23
247,63
250,32
251,19
252,37
252,15
255,21
255,10
256,16
258,13
259,5
261,35
262,28
266,40
267,25
268,3
271,20
271,5
271,10
272,63
274,13
275,13
276,18
278,40
279,33
284,22
286,59
286,11
289,18
290,15
292,6
294,56
295,33
296,17
297,21
315,25
316,19
317,14
331,81
340,63
345,16
352,26
355,24
