179 29 W
173 25 W
171 25 W
168 09 W
190 19 E
021 35 E
017 41 E
016 48 E
011 39 E
013 51 W
020 30 E
020 27 E
062 04 SE
037 24 SE
092 06 S
172 16 W
013 61 W
162 12 W
005 35 W
171 12 W
169 17 W
168 14 W
169 90 W
174 24 W
005 20 W
181 22 W
004 25 W
004 27 W
006 67 W
003 68 W
010 79 E
006 90 E
005 68 E
012 53 E
008 59 E
003 56 W
185 82 E
009 79 E
012 28 W
005 23 W
017 18 W
003 13 W
004 13 W
168 12 W
001 10 W
007 09 W
000 23 W
168 90 E
165 52 W
004 82 E
171 17 W
155 63 E
147 83 E
008 41 E
000 72 E
003 67 E

